58052.0123	RA= 0.374135619	DEC= 0.178708102	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
58052.014	RA= 0.374125616	DEC= 0.178714207	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
58052.0157	RA= 0.374115613	DEC= 0.178720311	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
58052.0351	RA= 0.374001887	DEC= 0.178789721	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
58052.0368	RA= 0.373991892	DEC= 0.178795821	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
58052.0912	RA= 0.373672625	DEC= 0.178990656	vx(km/s)= 43.0849704	vy(km/s)= 1.79044022	vz(km/s)= 16.2368466
58052.0928	RA= 0.373662852	DEC= 0.17899662	vx(km/s)= 43.0849704	vy(km/s)= 1.79044022	vz(km/s)= 16.2368466
58052.0967	RA= 0.373640256	DEC= 0.179010408	vx(km/s)= 43.0849704	vy(km/s)= 1.79044022	vz(km/s)= 16.2368466
58052.0983	RA= 0.373630553	DEC= 0.179016329	vx(km/s)= 43.0849704	vy(km/s)= 1.79044022	vz(km/s)= 16.2368466
58052.1337	RA= 0.373423194	DEC= 0.179142852	vx(km/s)= 43.0849704	vy(km/s)= 1.79044022	vz(km/s)= 16.2368466
58052.1386	RA= 0.373394937	DEC= 0.179160092	vx(km/s)= 43.0849704	vy(km/s)= 1.79044022	vz(km/s)= 16.2368466
58052.1433	RA= 0.373367363	DEC= 0.179176916	vx(km/s)= 43.0849704	vy(km/s)= 1.79044022	vz(km/s)= 16.2368466
58052.185	RA= 0.373123042	DEC= 0.17932597	vx(km/s)= 43.0849704	vy(km/s)= 1.79044022	vz(km/s)= 16.2368466
58052.246	RA= 0.372767238	DEC= 0.179543006	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.2485	RA= 0.372752386	DEC= 0.179552064	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.2511	RA= 0.372737401	DEC= 0.179561204	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.2536	RA= 0.372722552	DEC= 0.179570261	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.287	RA= 0.372528352	DEC= 0.179688703	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.2906	RA= 0.37250732	DEC= 0.17970153	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
58052.2942	RA= 0.37248629	DEC= 0.179714355	vx(km/s)= 43.0368131	vy(km/s)= 1.7716299	vz(km/s)= 16.2276048
